name,wikidata_qid,founded_year,status
Institut Supérieur des Professions Infirmières et Techniques de Santé de Casablanca,Q138655029,2013,done
Institut Supérieur des Sciences de l'Éducation de Guinée,Q30294178,NA,done
Institut Supérieur des Sciences et de Médecine Vétérinaire,Q109574991,2004,done
Institut Supérieur des Techniques Médicales de Bukavu,Q131630078,NA,done
Institut Supérieur des Technologies de l'Information et de la Communication,Q19544834,NA,done
Institut Supérieur des Études Technologiques de Gafsa,Q3152608,1981,done
Institut Supérieur des Études Technologiques de Nabeul,Q3152611,1995,done
Institut Supérieur des Études Technologiques en Communications de Tunis,Q3152614,1998,done
Institut Supérieur du Génie Appliqué,Q27961614,1981,done
Institut Supérieur du Sport et de l’Éducation Physique de Sfax,Q12193485,1969,done
Institut Supérieur d’Art Dramatique et d’Animation Culturelle,Q30294160,1985,done
Institut Supérieur d’Electronique et des Réseaux & Télécommunications,Q30294386,NA,done
"Institut Supérieur d’Informatique, Programmation et Analyse",Q30294152,NA,done
Institut Universitaire LES COURS SONOU,Q99753700,2007,done
Institut Universitaire Polytechnique de Mongo,Q3152772,2002,done
Institut Universitaire Siantou,Q115780415,1991,done
Institut Universitaire d'Abidjan,Q3152654,2004,done
Institut Universitaire de la Côte,Q30294327,2002,done
Institut Universitaire du Bénin,Q30294304,NA,done
Institut Universitaire du Congo,Q30294217,NA,done
Institut Universitaire du Golfe de Guinée,Q97041885,1993,done
Institut de Statistiques et d’Études Économiques du Burundi,Q133260324,NA,done
Institut des Hautes Études Bancaires et Financières,Q30294363,NA,done
"Institut des Hautes Études Bancaires, Financières et Managériale",Q30294378,NA,done
Institut des Hautes Études de Management,Q3152162,1988,done
Institut des Hautes Études de Tunis,Q30294263,1998,done
Institut supérieur de documentation,Q3152560,1981,done
Institut supérieur de la Magistrature,Q3152577,1962,done
Institute For Leadership And Communication Studies,Q30294170,NA,done
Institute and Observatory of Geophysics of Antananarivo,Q136448352,1887,done
Institute for Educational Planning and Administration,NA,NA,done
"Institute for Meteorological Training and Research, WMO Regional Training Centre",Q139771373,NA,done
"Institute for Poverty, Land and Agrarian Studies",Q106412094,1995,done
Institute for Security Studies,Q18126017,1991,done
Institute of Accountancy Arusha,Q30294401,NA,done
Institute of Aviation Engineering & Technology,NA,NA,done
Institute of Development Management,Q122382325,1974,done
Institute of Finance Management,Q30294230,1972,done
Institute of Legal Practice and Development,Q30294347,NA,done
Institute of Petroleum Studies Kampala,Q24236563,2013,done
Institute of Rural Development Planning,Q30294232,NA,done
Institute of Tax Administration,Q137796028,1982,done
Instituto Nacional de Estatística,Q1412194,1911,done
Instituto Superior Cristão,Q30294189,NA,done
Instituto Superior Monitor,Q30294220,NA,done
Instituto Superior Politecnico de Tete,Q30294237,2005,done
Instituto Superior Politécnico Metropolitano de Angola,Q30266536,NA,done
Instituto Superior Politécnico de Gaza,Q30294199,2005,done
Instituto Superior Politécnico de Manica,Q10302679,2005,done
Instituto Superior Politécnico de Songo,NA,NA,done
Instituto Superior Politécnico de Tecnologia e Ciências,Q100955832,2005,done
Instituto Superior de Administração e Finanças,Q131934371,NA,done
Instituto Superior de Artes e Cultura,Q30294204,NA,done
Instituto Superior de Ciencias Sociais e Relações Internacionais,Q30294274,NA,done
Instituto Superior de Ciencias de Saude,Q30294206,2004,done
Instituto Superior de Ciências Económicas e Empresariais,Q30294358,1991,done
Instituto Superior de Ciências da Educação de Benguela,Q130533271,NA,done
Instituto Superior de Ciências e Tecnologia Alberto Chipande,Q30294191,NA,done
Instituto Superior de Ciências e Tecnologia de Moçambique,Q30294207,NA,done
Instituto Superior de Comunicação e Imagem de Moçambique,Q30294208,NA,done
Instituto Superior de Transportes e Comunicaçõe,Q30294215,NA,done
Instituts Supérieurs des Professions Infirmières et Techniques de Santé,Q104480990,NA,done
Inter-University Council for East Africa,Q16910628,1980,done
International Academy Mohammed VI of Civil Aviation,NA,NA,done
International Academy for Engineering and Media Science,Q30294261,NA,done
International Centre for Genetic Engineering and Biotechnology,Q6049095,1994,done
International Crops Research Institute for the Semi-Arid Tropics,Q262250,1972,done
International Institute for Higher Education in Morocco,Q6051094,1988,done
International Institute for Water and Environmental Engineering,Q3075348,2006,done
International Islamic Center for Population Studies and Research,Q61934068,1975,done
International Medical and Technological University,Q6051985,1997,done
International School of Dakar,Q6052947,1983,done
International University & Polytechnic of Benin,Q30294307,NA,done
International University Bamenda,NA,NA,done
International University of Africa,Q1667493,1977,done
International University of East Africa,Q6054150,2011,done
International University of Grand Bassam,Q30266641,1991,done
International University of Management,Q1667019,1994,done
International University of Rabat,Q3551785,2010,done
Isa Kaita College of Education,Q107477957,1991,done
Islamic University College,Q6082651,2004,done
Islamic University in Uganda,Q5158982,1988,done
Islamic University of Niger,Q890735,1986,done
James Hope University,Q107724156,2013,done
Jamhuriya University of Science and Technology,Q17064749,2011,done
Jaramogi Oginga Odinga University of Science and Technology,Q16851003,2009,done
Jazeera University,Q100955858,2010,done
Jean Piaget University of Angola,Q10387844,2000,done
Jean Piaget University of Cape Verde,Q1707547,2001,done
Jigawa State College of Education Gumel,NA,NA,done
Jigawa State College of Nursing Sciences,Q134291891,1996,done
"Jigawa State Polytechnic, Dutse",Q108607234,2007,done
Jigjiga University,Q6192552,2005,done
Jimma University,Q6199299,1999,done
John Garang Memorial University of Science and Technology,Q6234826,2006,done
Jomo Kenyatta University of Agriculture and Technology,Q1702696,1994,done
Jordan University College,Q15229727,NA,done
Joseph Ayo Babalola University,Q915400,2006,done
Joseph Sarwuan Tarka University Makurdi,NA,NA,done
Joshua Mqabuko Nkomo Polytechnic,Q6290079,1981,done
Julius Nyerere University of Kankan,NA,NA,done
KCA University,Q6326561,1989,done
KCMC University,Q136448349,NA,done
Kabale University,Q6343817,2001,done
Kabarak University,Q6343885,2002,done
Kaduna Polytechnic,Q23019261,1956,done
Kaduna State University,Q6345764,2004,done
Kafrelsheikh University,Q4115998,2006,done
Kaimosi Friends University,Q90920549,NA,done
Kampala International University,Q6359113,2001,done
Kampala University,Q6359130,1999,done
Kano State University of Technology,Q16852238,2000,done
Karary University,Q6368619,1996,done
Karatina University,Q15036625,2013,done
Karl Kumm University,Q107724127,2003,done
Karume Institute of Science and Technology,Q135739137,2006,done
Kassala University,Q736962,1990,done
Katanga Methodist University,Q30265691,1951,done
Katsina State Institute of Technology and Management,NA,NA,done
Kebbi State Polytechnic,Q138662877,2013,done
Kebbi State University of Science and Technology,Q17109112,2006,done
"Kenule Beeson Saro-Wiwa Polytechnic, Bori",Q7338304,1992,done
Kenya Highlands University,Q16999351,1970,done
Kenya Institute of Curriculum Development,Q137943588,2013,done
Kenya Institute of Special Education,Q137943941,1986,done
Kenya Institute of Surveying and Mapping,Q136663702,1994,done
Kenya Medical Training College,Q16916920,1990,done
Kenya Methodist University,Q6392603,1997,done
Kenya School of TVET,Q30624340,1978,done
Kenyatta University,Q46756,1985,done
Khartoum International Institute for Arabic Languague,Q30294211,NA,done
Kibabii University,Q24236523,2010,done
Kigali Independent University,Q3551790,1996,done
King Ceasor University,Q116486082,2011,done
King Faisal University of N'Djamena,NA,NA,done
Kings University,Q84558370,2015,done
Kingsley Ozumba Mbadiwe University,Q125018042,2016,done
Kirinyaga University,Q28223356,2011,done
Kiriri Women's University of Science and Technology,Q6415328,2002,done
Kisii University,Q15036631,2013,done
Kismayo University,Q3551613,2005,done
Klintaps University College of Health and Allied Sciences,Q140119329,2017,done
Kofi Annan International Peacekeeping Training Centre,Q1778357,1998,done
Koforidua Technical University,Q1406935,1997,done
Kogi State University,Q15043613,1999,done
"Kogi State University, Kabba",Q131293676,NA,done
Koitaleel Samoei University College,NA,NA,done
Kongo University,Q6429212,1990,done
Kotebe University of Education,Q50039998,1959,done
Kumasi Technical University,Q1791968,1954,done
Kumi University,Q6443863,2004,done
Kwame Nkrumah University,Q1654025,1952,done
Kwame Nkrumah University of Science and Technology,Q1654025,1952,done
Kwara State Polytechnic,Q24232007,1973,done
Kwara State University,Q16734211,2009,done
Kwararafa University,Q24944759,2005,done
Kyambogo University,Q2753927,2003,done
LEAP Science and Maths Schools,Q20981668,1987,done
Ladoke Akintola University of Technology,Q6469794,1990,done
Lafoole University,Q6471734,1973,done
Lagos State University,Q849611,1983,done
Lagos State University of Science and Technology,Q23216911,1977,done
Laikipia University,Q15036634,2013,done
Lancaster University Ghana,Q30266490,1964,done
Landmark University,Q16733756,2011,done
Larbi Ben M'hidi University of Oum El Bouaghi,Q30294257,2001,done
Lead City University,Q16733761,2005,done
Lebanese International University of Mauritania,NA,NA,done
Levy Mwanawasa Medical University,Q104847179,2019,done
Liberia Institute Of Public Administration,Q139771635,1969,done
Libya Institute for Advanced Studies,NA,NA,done
Libya Open University,Q12185356,1987,done
Libyan Academy,Q12183555,1988,done
Libyan Centre for Dental Research,Q136448424,2023,done
Libyan International Medical University,Q3648090,2007,done
Light University of Bujumbur,Q3551434,2000,done
Lilongwe University of Agriculture and Natural Resources,Q30260552,2010,done
Lira University,Q24907953,2012,done
LivingStone International University,Q17067633,2012,done
Local Government Training Institute,Q116959417,1952,done
Lower Shabelle University,Q126208847,2010,done
Loyola University of Congo,Q97186173,NA,done
Lukenya University,Q101110418,2015,done
Lupane State University,Q6704659,2005,done
Lusaka Apex Medical University,Q48804537,2008,done
Luxor University,Q68167558,2019,done
Lyceum College,Q6707245,1917,done
Lúrio University,Q10387849,2006,done
Maakhir University,Q6721043,2009,done
Maasai Mara University,Q17037289,2013,done
Machakos School,Q28223293,1939,done
Machakos University,Q28223358,1957,done
Madda Walabu University,Q20982433,2006,done
Madina Academy,NA,NA,done
Madonna University,Q6728390,1937,done
Mahatma Gandhi Institute,Q61931657,1970,done
Mahatma Gandhi University,Q6733535,1983,done
Maitama Sule University Kano,NA,NA,done
Makerere University,Q261506,1922,done
Malawi Adventist University,Q6741451,1969,done
Malawi School of Government,Q138860339,1966,done
Malawi University of Science and Technology,Q25104234,2012,done
Management College of Southern Africa,Q6746662,1995,done
Mandela Institute for Development Studies,Q19787384,2010,done
Mangosuthu University of Technology,Q6588080,1979,done
Manicaland State University of Applied Sciences,Q131875322,2016,done
Manouba University,Q3551710,2000,done
Mansoura National University,Q114817413,2022,done
Mansoura University,Q4116236,1972,done
Margaret Lawrence University,Q129527756,2022,done
Marien Ngouabi University,Q3551438,1971,done
Marondera University of Agricultural Sciences and Technology,Q131876904,2015,done
Maryam Abacha American University of Niger,Q115611259,NA,done
Maseno University,Q3551629,1991,done
Mashreq University,Q12236083,2003,done
Masinde Muliro University of Science and Technology,Q6783284,2007,done
Mateur Higher School of Agriculture,Q30261794,1956,done
Matrouh University,Q12204540,2018,done
Mauritius Institute of Education,Q30294301,NA,done
Mbarara University of Science and Technology,Q514030,1989,done
Mbeya University of Science and Technology,Q15252472,2012,done
McPherson University,Q16733836,2012,done
Media Council of Kenya,Q6805474,NA,done
Mediterranean School of Business,Q3304063,2002,done
Mekdela Amba University,Q119285478,2015,done
Mekelle University,Q6810561,1991,done
Menoufia University,Q1163280,1976,done
Meru University of Science and Technology,Q6820757,1979,done
Methodist University College Ghana,Q99286969,NA,done
Methodist University of Angola,Q10387851,2007,done
Metropolitan International University,Q104480466,2017,done
Mfantsiman Girls Secondary School,Q19605635,1960,done
Michael Okpara University of Agriculture,Q6833225,1992,done
Middlesex University,Q1760791,1973,done
Midlands State University,Q6842554,1993,done
Midocean University,Q131692629,2020,done
Midrand Graduate Institute,Q6842964,1989,done
Military Technical College,Q376281,NA,done
Milpark Education,NA,NA,done
Minia University,Q6865113,1976,done
Misr International University,Q6875934,1996,done
Misr University for Science and Technology,Q14565823,1996,done
Mission de Promotion des Materiaux Locaux,Q133811133,NA,done
Misurata University,Q45819,1984,done
Mizan Tepi University,Q6884590,2006,done
Modern Academy,Q6888540,2000,done
Modern Academy for Engineering and Technology,NA,NA,done
Modern University for Information and Technology,Q30293656,NA,done
Modibbo Adama University of Technology,Q100943682,NA,done
Mogadishu University,Q721115,1997,done
Mohamed I University,Q3551445,1978,done
Mohamed-Cherif Messaadia University,Q18785812,1998,done
Mohammed V University,Q1360237,1957,done
Moi University,Q13122809,1984,done
Monarch University,Q137302554,NA,done
Moshi Co-operative University,Q15256455,NA,done
Mouloud Mammeri University of Tizi-Ouzou,Q3551456,1977,done
Mount Kenya University,Q15045626,1996,done
Mount Meru University,Q6922167,2003,done
Mountain Top University,Q22079989,2015,done
Mountains of the Moon University,Q595684,2005,done
Mountcrest University College,Q15260094,2008,done
Muhimbili University of Health and Allied Sciences,Q6933030,2007,done
Mukuba University,Q18378066,1974,done
Mulago School of Nursing and Midwifery,Q30287931,NA,done
Multimedia University of Kenya,Q16954019,2013,done
Mulungushi University,Q3643633,2008,done
Muni University,Q6936076,2012,done
Murang'a University of Technology,Q18391408,2016,done
Muslim University of Morogoro,Q6942984,2004,done
Mutare Polytechnic,Q107750591,NA,done
Muteesa I Royal University,Q6943779,2007,done
Mzumbe University,Q1240270,2001,done
Mzuzu University,Q477625,1997,done
Nahda College,Q17068763,2014,done
Nahda University,Q12204463,2006,done
Nalikule College of Education,Q138859802,2017,done
Nalut University,Q102347739,2017,done
Namibia Institute of Pathology,Q30261943,2000,done
Namibia University of Science and Technology,Q488696,1996,done
Nasarawa State University,Q6966612,2001,done
National Advanced School of Public Works,NA,NA,done
National Archives of Senegal,Q2860558,1913,done
National Banking College,Q110057126,NA,done
National Center for Educational Research and Development,Q64744500,NA,done
National Council for Curriculum and Assessment,Q118192977,2007,done
National Defence College Kenya,NA,NA,done
National Engineering School of Tunis,Q3578098,1968,done
National Examinations Council,Q60790996,NA,done
National Higher School of Autonomous Systems Technology,Q138654939,2023,done
National Higher School of Mathematics,Q132803485,2022,done
National Higher School of Statistics and Applied Economy,Q3054960,1970,done
National Higher School of Technology and Engineering Annaba,Q135983353,2023,done
National Institute for Nigerian Languages,Q104224385,1993,done
National Institute for Research in Education,Q137204396,1962,done
National Institute of Arts,Q463281,1899,done
National Institute of Public Administration,Q5917466,1958,done
National Institute of Transport,Q30261957,1975,done
National Library of Somalia,Q8247531,1975,done
National Nurses Association of Kenya,Q30288022,NA,done
National Open University of Nigeria,Q6974654,1983,done
National Polytechnic University Institute Bamenda,Q135739070,1996,done
National Postgraduate Medical College of Nigeria,Q25053746,1979,done
National Ribat University,Q6978113,2000,done
National School of Architecture,Q3578078,1980,done
National School of Artificial Intelligence,Q116871000,NA,done
National School of Built and Ground Works Engineering,NA,NA,done
National School of Business and Management in Settat,Q3578117,1994,done
National School of Computer Science,Q3578204,1968,done
"National School of Electronics and Telecommunications of Sfax, Tunisia",NA,NA,done
National School of Mineral Industry,Q3578123,1972,done
National Telecommunications Institute,Q30294330,NA,done
National Universities Commission,Q6979211,1962,done
National University,Q421739,1972,done
National University of Equatorial Guinea,Q3291919,1995,done
National University of Lesotho,Q1410332,1945,done
National University of Science and Technology,Q4315005,1918,done
"National University of Sciences, Technologies, Engineering and Mathematics",Q83870793,2014,done
Nazi Boni University,Q3551817,1997,done
Ndejje University,Q15261310,1992,done
Nelson Mandela African Institution of Science and Technology,Q15261581,2010,done
Nelson Mandela University,Q1331614,2005,done
New Generation University College,Q17071332,2002,done
New Giza University,Q54874555,2016,done
Newgate University Minna,Q136222229,2025,done
Niger Delta University,Q7032755,2000,done
Niger State Polytechnic,Q30294324,1977,done
Nigeria Police Academy,Q109767453,1980,done
Nigerian Army College of Education,NA,NA,done
Nigerian Defence Academy,Q7032895,1964,done
Nigerian Institute of Transport Technology,Q116052700,1984,done
Nigerian University Games Association,Q7033028,1966,done
Nigerian University of Technology and Management,Q134716511,2019,done
Nile University,Q1146856,2006,done
Nile University of Nigeria,Q16957865,2009,done
Nile University of Science and Technology,Q125522674,2017,done
Nile Valley University,Q7036988,1990,done
Njala University,Q7042386,1964,done
Nkumba University,Q7042657,1994,done
Nnamdi Azikiwe University,Q13140900,1991,done
North Gate University,Q17108252,2011,done
"North-Eastern University, Gombe",Q114355731,2022,done
North-West University,Q1998811,2004,done
Northrise University,Q2001151,2003,done
Novena University,Q7064806,2005,done
Nugaal University,Q3551763,2004,done
"Nurses' Training College, Ho",NA,NA,done
Obafemi Awolowo University,Q2008672,1962,done
Obong University,Q7075280,1997,done
Obour Institutes,Q30294318,NA,done
October 6 University,Q99289456,NA,done
October High Institute For Enginnering and Technology,Q30294245,NA,done
October University of Modern Sciences and Arts,NA,NA,done
Oda Bultum University,Q47526619,NA,done
Oduduwa University,Q7078366,2009,done
Ogun State Institute of Technology Igbesa,Q138860375,2005,done
Olabisi Onabanjo University,Q7082913,1982,done
Olusegun Agagu University of Science and Technology,Q17109279,2008,done
Omar Al-Mukhtar University,Q328423,1961,done
Omar Bongo University,Q3551470,1970,done
Omdurman Ahlia University,Q7089954,1986,done
Omdurman Islamic University,Q7089955,1901,done
One World University,Q7093426,NA,done
Open University of Kenya,Q133811864,2023,done
Open University of Mauritius,Q7096263,2012,done
Open University of Sudan,Q7096264,2002,done
Open University of Tanzania,Q7755195,1992,done
Open University of West Africa,Q7096265,2012,done
Open Window School of Visual Communication,NA,NA,done
Oran Graduate School of Economics,Q136565004,NA,done
Oromia State University,Q104243342,2009,done
"Osun State College of Education, Ila-Orangun",NA,NA,done
Osun State University,Q7108022,2006,done
Pan Africa Christian University,Q7129540,1978,done
Pan African Christian University College,Q2048800,NA,done
Pan African Institute for Development,Q97041900,1969,done
Pan African Institute for Development Regional Institute for West Africa,Q135738577,1969,done
Pan-African University,Q7129474,2002,done
Pan-Atlantic University,Q7129474,2002,done
Paul University Awka,Q135111735,2009,done
Pedagogical University,Q290662,1986,done
Pentecost University College,Q2069397,2003,done
Pharaohs Higher Institute of Computer Information Systems and Management,Q30294369,NA,done
Pharos University in Alexandria,Q7180855,2006,done
Philomath University,Q107724280,2021,done
Pigier Bénin,Q30294305,1997,done
Pigier Côte d'Ivoire,Q3388305,1956,done
Pioneer International University,Q30266511,2012,done
Plasma University,Q100955854,2005,done
Plateau State University,Q7202223,2005,done
Polytechnic School of Algiers,Q3578167,1925,done
Poma International Business University,Q100955834,2007,done
Port Said University,Q1564902,2010,done
Presbyterian University of East Africa,Q100946475,NA,done
"Presbyterian University, Ghana",Q1566634,2003,done
Private University of Angola,Q7246173,2000,done
Production Management Institute of Southern Africa,Q30294156,NA,done
Puntland State University,Q7260603,2004,done
Pwani University,Q17110774,2007,done
Radford University College,Q18393060,2009,done
Raya University,Q39058892,2015,done
Red Sea University,Q12204407,1994,done
Redeemer's University,Q7305700,2005,done
Reformed Church University,Q20981310,2012,done
Regenesys Business School,Q17152129,1997,done
Regent Business School,Q7308077,NA,done
Regent University College of Science and Technology,Q2137488,2003,done
Regentropfen University College,Q134251058,2016,done
Regional Centre for Training in Aerospace Surveys,Q30262067,1972,done
Regional Maritime University,Q7309095,2007,done
Renaissance University,Q7312455,2005,done
Rhema University,Q7320383,2009,done
Rhodes University,Q377757,1904,done
Riara University,Q17110806,2012,done
Rift Valley University,Q7333290,2000,done
Rivers State University,Q7338305,1972,done
Rongo University,Q90571011,2011,done
Royal Centre for Remote Sensing,Q2946015,1989,done
Ruaha Catholic University,Q20746315,NA,done
Rumbek University,Q2892503,2010,done
Rusangu University,Q7380634,2002,done
Rwanda Polytechnic,NA,NA,done
SIMAD University,Q17070468,1999,done
"SS Peter and Paul Major Seminary, Bodija",Q135983365,1908,done
Sa'adatu Rimi College of Education,Q103519800,1981,done
Sa'adu Zungur University,Q16839159,2011,done
Sabratha University,Q28450926,2015,done
Sadat Academy for Management Sciences,Q8973195,1981,done
Salem University,Q7404130,1888,done
Samara University,Q4406400,1942,done
Sanaag University of Science and Technology,Q7415442,2009,done
Scott Christian University,Q24236287,1962,done
Sebastian Kolowa Memorial University,Q15275772,2012,done
Sebha University,Q3648100,1983,done
Sedibeng TVET College,Q61931857,2002,done
Sefako Makgatho Health Sciences University,Q19843419,2014,done
Senghor University,Q3551492,1990,done
Shendi University,Q7494219,1994,done
Sheppard and Lapsley Presbyterian University of Congo,Q30294403,NA,done
Sicambeni Rural University,Q7507387,1908,done
Sidi Mohamed Ben Abdellah University,Q3551490,1975,done
Sikkim Manipal University,Q7513814,1995,done
Sinai University,Q7521677,2006,done
Sinnar University,Q7524660,1977,done
Sirte University,Q45817,1991,done
Skyline University Nigeria,Q77969869,2018,done
Social Work Institute in Cairo,Q30294385,NA,done
Sohag University,Q107209412,2006,done
Sokoine University of Agriculture,Q4005900,1984,done
Sokoto State University,Q16962164,2009,done
Sol Plaatje University,Q17090884,2014,done
Solusi University,Q5308248,1894,done
Somali International University,Q20982515,NA,done
Somali National University,Q278455,1954,done
Somali STEM Society,Q139771281,2017,done
Somaliland University of Technology,Q7559188,2000,done
Soroti University,Q7563661,2015,done
South African College of Applied Psychology,Q30294166,NA,done
South African National Energy Development Institute,Q30262049,NA,done
South African School of Motion Picture Medium and Live Performance,NA,NA,done
South African Theological Seminary,Q7565803,NA,done
South Eastern Kenya University,Q16258314,2013,done
South Valley University,Q7568730,1995,done
Southern Africa Nazarene University,Q61931923,2010,done
Sphinx University,Q60914723,NA,done
Spiritan University Nneochi,NA,NA,done
St Augustine College of South Africa,Q1497583,1999,done
St. Augustine International University,Q17379952,2011,done
St. Augustine University of Tanzania,Q1765076,1998,done
St. Christopher Iba Mar Diop College of Medicine,NA,NA,done
St. Francis University College of Health and Allied Sciences,Q16900521,NA,done
St. John's University of Tanzania,Q7588856,1999,done
St. Joseph University In Tanzania,Q16900557,2011,done
St. Lawrence University,Q1411093,1856,done
St. Mary's University,Q7590446,1852,done
St. Mary's University in Juba,Q7590451,2009,done
St. Paul's University,Q30294242,1989,done
Stafford University,Q48803129,2015,done
Stalwart University Institute,Q135738621,2019,done
State University of Medical and Applied Sciences,Q133812253,NA,done
State University of Zanzibar,Q7603635,2002,done
Stella Maris Polytechnic,Q7607098,1988,done
Stellenbosch University,Q1066492,1866,done
Strathmore University,Q7622156,1961,done
Sudan Academy for Banking and Financial Sciences,Q50040766,1963,done
Sudan Academy of Sciences,NA,NA,done
Sudan Childhood Diabetes Association,Q97041353,2003,done
Sudan International University,Q12204430,1990,done
Sudan Medical Specialization Board,Q50038979,1995,done
Sudan University of Science and Technology,Q458467,1932,done
Sudanese Universities Information Network,Q7633375,2004,done
Suez Canal University,Q1161619,1974,done
Suez University,Q12204432,2012,done
Sule Lamido University Kafin Hausa,NA,NA,done
"Summit University, Offa",Q107724041,2015,done
Sunyani Technical University,Q630686,1983,done
Sup Management,Q30294399,NA,done
Sup de Co Marrakech,Q3578437,1987,done
Supershine University,Q100955870,2014,done
Surman College of Science and Technology,Q137204557,1984,done
SwissLink Higher Institute of Business & Technology,Q135738588,2017,done
Taasisi ya Sanaa na Utamaduni Bagamoyo,Q20746231,2007,done
Tai Solarin University of Education,Q7675831,2005,done
Takoradi Technical University,Q1233332,1954,done
Tangaza University,Q136524138,NA,done
Tansian University,Q16953056,2009,done
Tanta University,Q2917699,1972,done
Tanzania Agriculture Research Institute,Q138460470,2016,done
Tanzania Commission for Universities,Q16953067,2005,done
Tanzania Institute of Education (TIE),NA,NA,done
Taraba State College of Health Technology Takum,Q138460420,1991,done
Taraba State University,Q7685179,2008,done
Team University,Q85805400,2010,done
Technical University of Angola,Q7692307,2007,done
Technical University of Kenya,Q7692311,1961,done
Technical University of Mombasa,Q7692314,2013,done
Tengeru Institute of Community Development,Q138655091,1963,done
Teofilo Kisanji University,Q13122812,2006,done
Testament Theological Seminary,Q133811827,2022,done
The Catholic University of Malawi,NA,NA,done
"The Federal Polytechnic, Ado-Ekiti",NA,NA,done
The Future University,Q3013290,1991,done
The Gambia College,Q1492903,NA,done
The Higher Institute of Applied Arts Fifth settlement,Q138655168,2005,done
The Higher Institute of Engineering Technologies Benghazi,Q138655036,2013,done
The Higher School of Management and Digital Economy,NA,NA,done
The Independent Institute of Education,Q24233955,2005,done
The Kenya Education Management Institute,Q139771606,1986,done
The Knowledge Hub Universities,Q135983382,2019,done
The Nigerian Baptist Theological Seminary,NA,NA,done
The Polytechnic Ibadan,NA,NA,done
The University Centre for Studies in Namibia,Q17512879,1978,done
The University of Dodoma,Q693769,2007,done
Thebes Academy,Q6888547,1993,done
Time Université,Q30294265,2002,done
Tissemsilt University,Q30294271,2005,done
Tom Mboya University College,Q114385531,2016,done
Trinity University,Q1311379,1869,done
Tshwane University of Technology,Q1147874,2004,done
Tumaini University,Q2459595,1997,done
Tunis El Manar University,Q3551684,1987,done
Tunis University,Q3551686,1960,done
Tunisia Polytechnic School,Q3578304,1991,done
Tunisia Private University,Q3551799,1992,done
Uganda Christian University,Q2473859,1997,done
Uganda Episcopal Conference,Q3667995,NA,done
Uganda Institute of Information & Communications Technology,Q30287770,NA,done
Uganda Management Institute,Q7877608,1968,done
Uganda Martyrs University,Q7877609,1993,done
Uganda Pentecostal University,Q7877620,2005,done
Uganda Petroleum Institute,Q6405976,2009,done
Uganda Technology and Management University,Q18394920,2012,done
Umaru Musa Yar'adua University,Q16259637,2006,done
Umma University,Q29467429,2013,done
UniMAC-GIJ,NA,NA,done
United African University of Tanzania,Q16902333,2012,done
United Methodist University,Q16902330,1998,done
United States International University Africa,Q19720584,1969,done
Unity University College,NA,NA,done
Unité de Recherche en Génie des Procédés et en Génie de l’Environnement,Q135095637,2014,done
Universiapolis - Université Internationale d'Agadir,Q30294303,NA,done
Universidade Aberta ISCED,Q100955845,NA,done
Universidade Colinas de Boé,Q1654102,2003,done
Universidade Gregório Semedo,Q30294279,2003,done
Universidade Independente de Angola,Q10387842,2004,done
Universidade Jean Piaget de Moçambique,Q30294224,NA,done
Universidade José Eduardo dos Santos,Q18467828,1974,done
Universidade Katyavala Bwila,Q18467831,2009,done
Universidade Kimpa Vita,Q18467838,2009,done
Universidade Lusíada de Angola,Q50362987,1999,done
Universidade Lusófona da Guiné,Q30294233,NA,done
Universidade Mandume Ya Ndemufayo,Q18467847,1974,done
Universidade Politecnica,Q30266472,NA,done
Universidade Rainha Njinga a Mbande,NA,NA,done
Universidade São Tomás de Moçambique,Q30294227,NA,done
Universidade Técnica de Moçambique,Q30294228,2002,done
Universidade Zambeze,Q18467864,2007,done
Universidade de Belas,Q30930983,2007,done
Universidade de São Tomé e Príncipe,Q6041504,2014,done
Universidade Óscar Ribas,Q30294282,2007,done
Universite Adventiste de Lukanga,Q30294222,NA,done
Universite des Sciences Appliquée et Management,Q19600073,2003,done
University Center of Barika,Q133812232,2011,done
University Center of Illizi,Q133811530,2015,done
University Centre of Maghnia,Q124691781,2016,done
University College of Agriculture and Environmental Studies,Q7894642,1963,done
University College of Aviation and Technology,Q30294270,NA,done
University College of Management Studies,Q2495782,1974,done
University College of Technology,Q30294315,NA,done
University Elmergib,Q25893967,1991,done
University Ferhat Abbas of Setif,NA,NA,done
University Frères Mentouri Constantine 1,NA,NA,done
University Mohamed Boudiaf of M'sila,Q16511684,1985,done
University Mohamed El Bachir El Ibrahimi of Bordj Bou Arreridj,NA,NA,done
University Yahia Fares of Medea,NA,NA,done
University for Development Studies,Q1766573,1992,done
University of Abou Bekr Belkaïd,Q3551363,1989,done
University of Abuja,Q3509297,1988,done
University of Africa,Q30294319,NA,done
University of Africa Toru-Orua,NA,NA,done
"University of Agriculture and Environmental Sciences, Umuagwo",Q123422183,2019,done
University of Ajdabiya,NA,NA,done
University of Algiers 3,Q29896977,2009,done
University of Algiers Benyoucef Benkhedda,NA,NA,done
University of Antananarivo,Q1443595,1961,done
University of Applied Management,Q1280712,2004,done
University of Arusha,Q7895088,2006,done
University of Asmara,Q1707483,1958,done
University of Bagamoyo,Q16902371,2010,done
University of Bahr El-Ghazal,Q7895105,1991,done
University of Bahri,Q20411213,2011,done
University of Bakhtalruda,Q7895104,1990,done
University of Bamako,Q1442778,1996,done
University of Bamenda,Q17028026,2011,done
